stateprovince
Rio Grande do Sul
Río Negro
Risaralda
Rivera
RJ
RO
Rondônia
Rondonia (Terr.)
Roraima
Roraima (?)
Roraima (Terr.)
RS
Rupununi
Rupununi District
s.loc.
SÃ£o Paulo
Saint-Laurent-du-Maroni
Salta
San Andrés & Providencia
San Andrés and Providencia
San Andres y Providencia
San Blas
San José
San Juan
San Martín
San Pedro
Sangre Grande
Santa Bárbara
Santa Catarina
Santa Cruz
Santa Elena
Santa Fé
Santa Helena
Santander
Santiago-Zamora
Santo Domingo de los Tsachilas
São Paulo
Saramacca
Sauts Parare
SC
Sergipe
Shushufindi
Sipaliwini
Sipaliwini District
Society Islands
SP
St. Laurent
Sucre
Sucumbíos
Suriname
Táchira
Tacuarembó
Tarija
TO
Tobago
Tocantins
Tolima
Treinta y Tres
Trujillo
Tucuman
Tumbes
Tungurahua
U. Demerara-Berbice
U. Takutu-U. Essequibo
Ucayali
Uf Nao Selecionada
Unknown
Upper Demerara - Berbice
Upper Demerara-Berbice
Upper Essequibo Region
Upper Mazaruni
Upper Takutu - Upper Essequibo
Upper Takutu-Upper Essequ
Upper Takutu-Upper Essequibo
Urungwe
Valdivia
Valle
Valle del Cauca
Valparaíso
Valparaíso (V)
Vargas
Vaupés
Vera Cruz
Veracruz
Vichada
Viti Levu
Wanica
Waraputa
West Demerara
West Pibiri
West Piribi
West-Demerara
Yaracuy
Yoro
Yungas
Zamora Chinchipe
Zamora-Chinchipe
Zanderij
Zelaya
Zulia
